Id,Reference Designator,Package,Quantity,Value,MPN,Supplier and ref,SMT/Through,SMTs,Throughs
1,C31;C33;C34;C36;C37;C39;C45;C46;C48;C49;C51;C43;C52;C54;C42;C40;C15;C30;C28;C10;C12;C13;C19;C21;C24;C18;C7;C22;C27;C25;C9;C16;C60;C64;C69;C61;C76;C63;C72;C75;C66;C58;C70;C73;C67;C55;C57;C78;C81;C88;C90;C84;C79;C82;C87;C85;C91;C94;C99;C100;C97;C102;C96;C93,C_0603_1608Metric,64,0.1uF,1276-6807-1-ND,Digikey,1,64,0
2,C32;C35;C38;C44;C47;C50;C53;C41;C17;C20;C8;C29;C11;C26;C23;C14;C56;C74;C65;C68;C59;C71;C77;C62;C83;C89;C80;C86;C95;C98;C92;C101,C_0603_1608Metric,32,1nF,1292-1380-1-ND,Digikey,1,32,0
3,J1,TerminalBlock_Phoenix_PT-1;5-3-5.0-H_1x03_P5.00mm_Horizontal,1,,277-1578-ND,Digikey,0,0,1
4,J3;J2,5787082-7_1,2,,A31814-ND,Digikey,0,0,2
5,R50;R56;R62;R74;R80;R86;R92;R68;R8;R14;R2;R20;R32;R26;R38;R44;R122;R104;R98;R110;R116;R140;R134;R128;R152;R176;R182;R158;R164;R170;R146;R188,R_0603_1608Metric,32,100R,311-100GRCT-ND,Digikey,1,32,0
6,R53;R59;R65;R83;R89;R63;R75;R81;R87;R77;R95;R93;R51;R69;R71;R39;R21;R27;R3;R33;R15;R9;R45;R5;R11;R17;R35;R29;R23;R41;R47;R57;R141;R135;R129;R123;R111;R99;R117;R105;R119;R113;R107;R101;R125;R137;R131;R143;R147;R153;R177;R159;R171;R183;R165;R189;R179;R173;R167;R185;R155;R161;R149;R191,R_0603_1608Metric,64,4.99k,CR0603-FX-4991ELFCT-ND,Digikey,1,64,0
7,R66;R78;R84;R90;R72;R6;R12;R18;R36;R24;R42;R48;R30;R96;R54;R60;R102;R114;R120;R144;R126;R132;R138;R108;R156;R174;R180;R186;R162;R168;R150;R192,R_0603_1608Metric,32,1.65k,RMCF0603FT1K65CT-ND,Digikey,1,32,0
8,FL9;FL10;FL11;FL13;FL14;FL15;FL16;FL12;FL7;FL2;FL6;FL4;FL1;FL8;FL5;FL3;FL21;FL19;FL17;FL23;FL18;FL24;FL22;FL20;FL29;FL27;FL25;FL32;FL31;FL28;FL26;FL30,NFE61,32,,490-2554-2-ND,Digikey,1,32,0
9,IC10;IC11;IC13;IC14;IC15;IC16;IC12;IC7;IC6;IC5;IC3;IC2;IC1;IC4;IC8;IC9;IC24;IC22;IC18;IC21;IC17;IC20;IC23;IC19;IC32;IC31;IC30;IC29;IC28;IC25;IC27;IC26,SOIC127P599X175-9N,32,,505-LTC6090CS8E#PBF-ND,Digikey,1,32,0
10,L9;L10;L11;L13;L15;L12;L14;L4;L7;L2;L8;L3;L1;L5;L6;L16;L21;L19;L18;L24;L20;L17;L22;L23;L32;L30;L27;L31;L29;L26;L25;L28,WE-SL2,32,,732-1488-1-ND,Digikey,1,32,0
11,R52;R58;R64;R76;R82;R88;R94;R70;R40;R28;R22;R16;R4;R10;R34;R46;R136;R130;R142;R124;R118;R112;R106;R100;R184;R166;R148;R178;R160;R172;R190;R154,R_0603_1608Metric,32,30R,738-RMCF0603FT30R0CT-ND,Digikey,1,32,0
12,C3;C4,CP_Radial_D8.0mm_P3.50mm,2,22uF,565-1365-ND,Digikey,0,0,2
13,C6;C2;C1;C5,C_1206_3216Metric,4,1uF,1276-1838-1-ND,Digikey,1,4,0
14,C103;C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C115;C116;C117;C118,CP_Radial_D6.3mm_P2.50mm,16,10uF,565-3338-1-ND,Digikey,0,0,16
15,R257;R258,R_0603_1608Metric,2,0R,RMCF0805ZT0R00CT-ND,Digikey,1,2,0
16,D33;D34,DIOAD2855W132L835D505,2,,EGP51G-E3/CGICT-ND,Digikey,0,0,2
17,D4;D3;D9;D12;D16;D2;D14;D15;D8;D10;D11;D1;D6;D5;D7;D13;D23;D32;D19;D21;D31;D27;D28;D18;D30;D20;D24;D17;D26;D25;D29;D22,SOT95P230X110-3N,32,,1727-5056-2-ND,Digikey,1,32,0
18,J11;J4;J12;J10;J6;J7;J9;J17;J16;J18;J8;J14;J5;J15;J13;J19;J32;J20;J31;J21;J24;J22;J34;J28;J30;J35;J25;J33;J27;J23;J26;J29,SAMTEC_TSW-101-15-H-D,32,,A30916-ND,Digikey,0,0,32
19,ANT14;ANT15;ANT1;ANT4;ANT16;ANT8;ANT12;ANT9;ANT3;ANT5;ANT2;ANT11;ANT13;ANT10;ANT7;ANT6;ANT20;ANT19;ANT30;ANT32;ANT23;ANT29;ANT26;ANT27;ANT18;ANT22;ANT31;ANT28;ANT25;ANT17;ANT24;ANT21,GHI-CONNECTORS_U.FL-R-SMT-1,32,,H9161TR-ND ,Digikey,1,32,0
20,R259;R260;R262;R261,R_0805_2012Metric,4,0R,A30916-ND,Digikey,1,4,0
,,,,,,,,426,55
