Reference,Value,Package,Type ,Datasheet,Description,Manufacturer,MPN,Qty
ANT1-ANT32,,,SMT,https://media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UFL%20Series.pdf,U.FL Series 50 Ohm Receptacle Male Pins Ultra Small SMT Coaxial Connector,Hirose,U.FL-R-SMT(10),32
"C3, C4",47u,,SMT,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1178.pdf,CAP ALUM 47UF 20% 100V SMD,Panasonic,EEE-FK2A470AV,2
"C8, C11, C14, C17, C20, C23, C26, C29, C32, C35, C38, C41, C44, C47, C50, C53, C56, C59, C62, C65, C68, C71, C74, C77, C80, C83, C86, C89, C92, C95, C98, C101",1n,0603,SMT,http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf,CAP CER 1000PF 100V X7R 0603,Samsung,CL10B102KC8NNNC,32
"C7, C9, C10, C12, C13, C15, C16, C18, C19, C21, C22, C24, C25, C27, C28, C30, C31, C33, C34, C36, C37, C39, C40, C42, C43, C45, C46, C48, C49, C51, C52, C54, C55, C57, C58, C60, C61, C63, C64, C66, C67, C69, C70, C72, C73, C75, C76, C78, C79, C81, C82, C84, C85, C87, C88, C90, C91, C93, C94, C96, C97, C99, C100, C102",0.1u,0603,SMT,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10B104KC8NNNC_Spec.pdf,CAP CER 0.1UF 100V X7R 0603,Samsung,CL10B104KC8NNNC,64
"C104, C105, C107, C108, C111, C113, C114, C117",10u,,SMT,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/HXDRA-e.PDF,CAP ALUM POLY HYB 10UF 63V SMD,United Chemi-Con,HHXD630ARA100MF80G,8
"C1, C2, C5, C6, C103, C106, C109, C110, C112, C115, C116, C118",1u,1206,SMT,https://www.samsungsem.com/kr/support/product-search/mlcc/CL31B105KCHNNNE.jsp,CAP CER 1UF 100V X7R 1206,Samsung,CL31B105KCHNNNE,12
D1-D32,,TO236AB,SMT,https://assets.nexperia.com/documents/data-sheet/NUP1301.pdf,TVS DIODE 80VWM 20VC TO236AB,Nexperia,"NUP1301,215",32
"D33, D34",,,SMT,~,"25NS, 6A, 100V, ULTRA FAST RECOV",Taiwan Semiconductor,PU6BBH,2
FL1-FL32,,,SMT,https://www.murata.com/en-eu/products/productdata/8796767059998/ENFE0003.pdf,"SMT EMI filter capacitor,4700pF 50Vdc Murata NFE61HT / PT Series 2A 50 V dc SMD Power Line Filter, with Solder Pad Terminals",Murata Electronics,NFE61PT472C1H9L,32
IC1-IC32,,SO,SMT,http://cds.linear.com/docs/en/datasheet/6090fe.pdf,IC OPAMP GP 1 CIRCUIT 8SOIC,Analog Devices Inc.,LTC6090CS8E#PBF,32
J1,,3X1,Through,https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935174.pdf,TERM BLK 3POS SIDE ENTRY 5MM PCB,Phoenix Contact,1935174,1
"J2, J3",,HD68,Through,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=5787082&DocType=Customer+Drawing&DocLang=English,CONN D-TYPE RCPT 68POS R/A SLDR,TE Connectivity AMP Connectors,5787082-7,2
J4,,2X2,SMT,https://suddendocs.samtec.com/catalog_english/tsm.pdf,CONN HEADER SMD 4POS 2.54MM,Samtec Inc.,TSM-102-01-L-DV,1
L1-L32,18.4k,,SMT,http://componentsearchengine.com/Datasheets/1/744229.pdf,SMD Common Mode Line Filter WE-SL5,Wurth Elektronik,744229,32
"R2, R8, R14, R20, R26, R32, R38, R44, R50, R56, R62, R68, R74, R80, R86, R92, R98, R104, R110, R116, R122, R128, R134, R140, R146, R152, R158, R164, R170, R176, R182, R188",100,0603,SMT,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES 100 OHM 1% 1/10W 0603,Stackpole Electronics Inc,RMCF0603FG100R,32
"R3, R5, R9, R11, R15, R17, R21, R23, R27, R29, R33, R35, R39, R41, R45, R47, R51, R53, R57, R59, R63, R65, R69, R71, R75, R77, R81, R83, R87, R89, R93, R95, R99, R101, R105, R107, R111, R113, R117, R119, R123, R125, R129, R131, R135, R137, R141, R143, R147, R149, R153, R155, R159, R161, R165, R167, R171, R173, R177, R179, R183, R185, R189, R191",4.99k,0603,SMT,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES SMD 4.99K OHM 1% 1/10W 0603,Stackpole Electronics Inc,RMCF0603FT4K99,64
"R4, R10, R16, R22, R28, R34, R40, R46, R52, R58, R64, R70, R76, R82, R88, R94, R100, R106, R112, R118, R124, R130, R136, R142, R148, R154, R160, R166, R172, R178, R184, R190",30,0603,SMT,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES 30 OHM 1% 1/10W 0603,Stackpole Electronics Inc,RMCF0603FT30R0,32
"R6, R12, R18, R24, R30, R36, R42, R48, R54, R60, R66, R72, R78, R84, R90, R96, R102, R108, R114, R120, R126, R132, R138, R144, R150, R156, R162, R168, R174, R180, R186, R192",1.65k,0603,SMT,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,RES 1.65K OHM 1% 1/10W 0603,Stackpole Electronics Inc,RMCF0603FT1K65,32
